INFO  - 2021-01-22 13:50:58.748; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2021-01-22 13:50:58.749; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2021-01-22 13:50:58.799; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2021-01-22 13:50:58.889; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2021-01-22 13:50:58.890; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2021-01-22 13:50:58.891; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2021-01-22 13:50:58.892; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/dist/solr-velocity-4.7.2.jar' to classloader
INFO  - 2021-01-22 13:50:58.962; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2021-01-22 13:50:58.991; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2021-01-22 13:50:59.146; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2021-01-22 13:50:59.213; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2021-01-22 13:50:59.240; org.apache.solr.schema.IndexSchema; [collection1] Schema name=default
INFO  - 2021-01-22 13:50:59.493; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2021-01-22 13:50:59.495; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2021-01-22 13:50:59.497; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2021-01-22 13:50:59.609; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2021-01-22 13:50:59.639; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\, dataDir=D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\
INFO  - 2021-01-22 13:50:59.642; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2021-01-22 13:50:59.645; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2021-01-22 13:50:59.646; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2021-01-22 13:50:59.659; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data
INFO  - 2021-01-22 13:50:59.697; org.apache.solr.core.SolrCore; New index directory detected: old=null new=D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index/
WARN  - 2021-01-22 13:50:59.698; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2021-01-22 13:50:59.706; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index
INFO  - 2021-01-22 13:50:59.903; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
